CNPJ_CIA;TICKER;RAZAO_CVM
34.169.557/0001-72;BMIN4;BCO MERCANTIL DE INVESTIMENTOS S.A.
61.186.680/0001-74;BMGB4;BANCO BMG S.A.
04.752.991/0001-10;BIOM3;BIOMM S.A.
13.009.717/0001-46;BGIP3;BCO ESTADO DE SERGIPE S.A. - BANESE
13.009.717/0001-46;BGIP4;BCO ESTADO DE SERGIPE S.A. - BANESE
60.851.615/0001-53;BDLL4;BARDELLA S.A. INDUSTRIAS MECANICAS
60.851.615/0001-53;BDLL3;BARDELLA S.A. INDUSTRIAS MECANICAS
04.902.979/0001-44;BAZA3;BCO AMAZONIA S.A.
00.001.180/0001-26;AXIA7;Axia Energia S.A.
00.776.574/0001-56;AMER3;AMERICANAS S.A
10.338.320/0001-00;AFLT3;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A
12.528.708/0001-07;AERI3;AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A
42.771.949/0001-35;AALR3;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.














