CNPJ_CIA;TICKER;RAZAO_CVM
17.155.730/0001-64;CMIG4;CIA ENERGETICA DE MINAS GERAIS - CEMIG
17.167.396/0001-69;RPAD3;ALFA HOLDINGS S.A.
17.167.396/0001-69;RPAD5;ALFA HOLDINGS S.A.
17.167.396/0001-69;RPAD6;ALFA HOLDINGS S.A.
17.184.037/0001-10;BMEB3;BCO MERCANTIL DO BRASIL S.A.
17.184.037/0001-10;BMEB4;BCO MERCANTIL DO BRASIL S.A.
21.255.567/0001-89;CTSA3;CIA TECIDOS SANTANENSE
21.255.567/0001-89;CTSA4;CIA TECIDOS SANTANENSE
33.412.081/0001-96;RPMG3;REFINARIA DE PETROLEOS MANGUINHOS S.A.
42.278.291/0001-24;LOGN3;LOG-IN LOGISTICA INTERMODAL S.A.
42.331.462/0001-31;EPAR3;EMBPAR PARTICIPAÇÕES S/A
43.470.988/0001-65;EVEN3;EVEN CONSTRUTORA E INCORPORADORA S.A.
45.453.214/0001-51;PFRM3;PROFARMA DISTRIB PROD FARMACEUTICOS S.A.
47.508.411/0001-56;PCAR3;CIA BRASILEIRA DE DISTRIBUICAO
49.669.856/0001-43;VSTE3;VESTE S.A. ESTILO
50.926.955/0001-42;VULC3;VULCABRAS S.A.
51.928.174/0001-50;PLAS3;PLASCAR PARTICIPACOES INDUSTRIAIS S.A.
59.105.999/0001-86;WHRL3;WHIRLPOOL S.A.
59.105.999/0001-86;WHRL4;WHIRLPOOL S.A.
07.206.816/0001-15;MDIA3;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS
08.801.621/0001-86;SYNE3;SYN PROP & TECH S.A.
07.689.002/0001-89;EMBJ3;EMBRAER S.A.
08.811.643/0001-27;TRIS3;TRISUL S.A.
09.295.063/0001-97;TECN3;TECHNOS S.A.
09.346.601/0001-25;B3SA3;B3 S.A. - BRASIL, BOLSA, BALCÃO
08.065.557/0001-12;TCSA3;TECNISA S.A.
08.078.847/0001-09;LPSB3;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.
08.312.229/0001-73;EZTC3;EZ TEC EMPREEND. E PARTICIPACOES S.A.
08.343.492/0001-20;MRVE3;MRV ENGENHARIA E PARTICIPACOES S.A.
14.807.945/0001-24;SNSY5;SANSUY S.A. INDUSTRIA DE PLASTICOS
16.590.234/0001-76;AZZA3;AZZAS 2154 S.A.
16.670.085/0001-55;RENT3;LOCALIZA RENT A CAR S.A.
29.780.061/0001-09;SCAR3;SAO CARLOS EMPREEND E PARTICIPACOES S.A.
33.041.260/0652-90;BHIA3;GRUPO CASAS BAHIA S.A.
33.042.730/0001-04;CSNA3;CIA SIDERURGICA NACIONAL
33.386.210/0001-19;SOND5;SONDOTECNICA ENGENHARIA SOLOS S.A.
33.386.210/0001-19;SOND6;SONDOTECNICA ENGENHARIA SOLOS S.A.
33.467.572/0001-34;TKNO4;TEKNO S.A. - INDUSTRIA E COMERCIO
33.592.510/0001-54;VALE3;VALE S.A.
33.611.500/0001-19;GGBR3;GERDAU S.A.
33.611.500/0001-19;GGBR4;GERDAU S.A.
42.150.391/0001-70;BRKM3;BRASKEM S.A.
42.150.391/0001-70;BRKM5;BRASKEM S.A.
42.150.391/0001-70;BRKM6;BRASKEM S.A.
43.776.517/0001-80;SBSP3;CIA SANEAMENTO BASICO EST SAO PAULO
45.987.245/0001-92;BIED3;BAHEMA EDUCAÇÃO S.A.
47.960.950/0001-21;MGLU3;MAGAZINE LUIZA S.A.
53.113.791/0001-22;TOTS3;TOTVS S.A.
56.992.423/0001-90;BMKS3;BICICLETAS MONARK S.A.
60.476.884/0001-87;LEVE3;MAHLE-METAL LEVE S.A.
61.156.113/0001-75;MYPK3;IOCHPE MAXION S.A.
61.374.161/0001-30;BALM4;BAUMER S.A.
61.532.644/0001-15;ITSA3;ITAÚSA S.A.
61.532.644/0001-15;ITSA4;ITAÚSA S.A.
62.144.175/0001-20;PINE3;BCO PINE S.A
62.144.175/0001-20;PINE4;BCO PINE S.A
67.571.414/0001-41;VIVR3;VIVER INCORPORADORA E CONSTRUTORA S.A.
71.476.527/0001-35;TEND3;CONSTRUTORA TENDA S.A.
83.475.913/0001-91;PTBL3;PBG S/A
83.878.892/0001-55;CLSC3;CENTRAIS ELET DE SANTA CATARINA S.A.
83.878.892/0001-55;CLSC4;CENTRAIS ELET DE SANTA CATARINA S.A.
84.683.374/0001-49;TUPY3;TUPY S.A.
84.683.408/0001-03;DOHL4;DOHLER S.A.
84.683.671/0001-94;MWET4;WETZEL S.A.
86.375.425/0001-09;MTSA4;METISA METALURGICA TIMBOENSE S.A.
87.456.562/0001-22;JOPA3;JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP
87.456.562/0001-22;JOPA4;JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP
88.610.126/0001-29;FRAS3;FRAS-LE S.A.
89.086.144/0001-16;RAPT3;RANDON S.A. IMPLEMENTOS E PARTICIPACOES
89.086.144/0001-16;RAPT4;RANDON S.A. IMPLEMENTOS E PARTICIPACOES
89.637.490/0001-45;KLBN11;KLABIN S.A.
89.637.490/0001-45;KLBN3;KLABIN S.A.
89.637.490/0001-45;KLBN4;KLABIN S.A.
90.076.886/0001-40;MNPR3;MINUPAR PARTICIPACOES S.A.
91.333.666/0001-17;RCSL3;RECRUSUL S.A.
91.333.666/0001-17;RCSL4;RECRUSUL S.A.
92.660.570/0001-26;LUXM4;TREVISA INVESTIMENTOS S.A.
92.690.783/0001-09;GOAU3;METALURGICA GERDAU S.A.
92.690.783/0001-09;GOAU4;METALURGICA GERDAU S.A.
92.754.738/0001-62;LREN3;LOJAS RENNER S.A.
00.864.214/0001-06;ENGI11;ENERGISA S.A.
00.864.214/0001-06;ENGI3;ENERGISA S.A.
00.864.214/0001-06;ENGI4;ENERGISA S.A.
01.545.826/0001-07;GFSA3;GAFISA S.A.
01.938.783/0001-11;PEAB3;CIA PARTICIPACOES ALIANCA DA BAHIA
01.938.783/0001-11;PEAB4;CIA PARTICIPACOES ALIANCA DA BAHIA
02.429.144/0001-93;CPFE3;CPFL ENERGIA S.A.
02.558.157/0001-62;VIVT3;TELEFÔNICA BRASIL S.A
02.860.694/0001-62;SHOW3;T4F ENTRETENIMENTO S.A.
04.986.320/0001-13;SEER3;SER EDUCACIONAL S.A.
07.628.528/0001-59;AGRO3;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS
12.648.327/0001-53;HBSA3;HIDROVIAS DO BRASIL S.A.
30.306.294/0001-45;BPAC11;BCO BTG PACTUAL S.A.
30.306.294/0001-45;BPAC3;BCO BTG PACTUAL S.A.
30.306.294/0001-45;BPAC5;BCO BTG PACTUAL S.A.
17.314.329/0001-20;MEAL3;INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.
51.466.860/0001-56;SMTO3;SAO MARTINHO S.A.
61.585.865/0001-51;RADL3;RAIA DROGASIL S.A.
88.613.658/0001-10;PTNT3;PETTENATI S.A. INDUSTRIA TEXTIL
88.613.658/0001-10;PTNT4;PETTENATI S.A. INDUSTRIA TEXTIL
10.760.260/0001-19;CVCB3;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.
51.128.999/0001-90;NUTR3;NUTRIPLANT INDUSTRIA E COMERCIO S.A.
76.627.504/0001-06;INEP3;INEPAR S.A. INDUSTRIA E CONSTRUCOES
76.627.504/0001-06;INEP4;INEPAR S.A. INDUSTRIA E CONSTRUCOES
09.288.252/0001-32;ANIM3;ANIMA HOLDING S.A.
09.041.168/0001-10;LOGG3;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES
17.344.597/0001-94;BBSE3;BB SEGURIDADE PARTICIPAÇÕES S.A.
07.526.557/0001-00;ABEV3;AMBEV S.A.
90.441.460/0001-48;UCAS3;UNICASA INDÚSTRIA DE MÓVEIS S.A.
90.400.888/0001-42;SANB11;BCO SANTANDER (BRASIL) S.A.
90.400.888/0001-42;SANB3;BCO SANTANDER (BRASIL) S.A.
90.400.888/0001-42;SANB4;BCO SANTANDER (BRASIL) S.A.
21.314.559/0001-66;MOVI3;MOVIDA PARTICIPACOES SA
42.278.473/0001-03;WIZC3;WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.
00.336.701/0001-04;TELB3;TELEC BRASILEIRAS S.A. TELEBRAS
00.336.701/0001-04;TELB4;TELEC BRASILEIRAS S.A. TELEBRAS
22.543.331/0001-00;CXSE3;CAIXA SEGURIDADE PARTICIPAÇÕES S.A.
62.002.886/0001-60;AHEB3;SAO PAULO TURISMO S.A.
07.594.978/0001-78;SMFT3;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.
18.593.815/0001-97;PRNR3;PRINER SERVIÇOS INDUSTRIAIS S.A.
33.376.989/0001-91;IRBR3;IRB - BRASIL RESSEGUROS S.A.
34.274.233/0001-02;VBBR3;VIBRA ENERGIA S/A
